customer_id,0,1,2,3,4,5,6,7,8,9
C00001,5.703041,7.1221414,4.0477986,5.570009,4.8667965,6.637117,5.486508,3.0166163,4.165061,4.47316
C00002,5.1465783,8.899294,4.6918993,7.5078955,4.8906336,6.066756,5.7723813,3.5621147,4.2128797,4.4737306
C00003,6.754262,7.8993115,3.556018,5.446508,4.77993,6.995626,5.2339997,2.4587317,4.6136208,4.8887725
C00004,5.6741405,8.715692,4.7197924,8.858301,5.4072237,6.383849,5.716782,2.7888186,4.351838,6.1512117
C00005,5.7048364,8.740049,4.6848526,9.20314,5.328412,6.287615,5.5125375,2.761621,4.4324293,6.3864026
C00006,5.9352145,8.433601,4.8735933,8.849164,5.3647714,6.3876295,5.634608,3.0461636,4.3407297,5.9218807
C00007,5.8347783,8.943578,3.312186,5.813031,5.5720296,6.0067863,5.5762568,3.137436,4.695915,4.045847
C00008,7.7281466,8.026279,4.118934,6.7897663,4.7200656,7.003464,4.9101315,2.926063,4.8244853,5.102617
C00009,5.649274,8.428057,2.7720127,5.78829,5.536414,5.8913584,5.1169853,2.7187538,4.694696,4.6082506
C00010,5.6494837,8.211383,4.5586033,9.25054,6.338269,6.279539,5.919742,2.5939407,4.234288,6.6478963
C00011,6.4411335,9.215417,2.2276804,5.3045897,5.580969,6.0752683,4.992517,2.402986,5.0355806,4.544715
C00012,5.5335007,8.013464,4.54075,9.428037,6.369901,6.1171155,5.696044,2.6924832,4.265383,6.678527
C00013,5.3070736,7.9830513,4.262683,8.943691,6.36512,5.869695,5.6443543,2.8837843,4.2631054,6.207203
C00014,5.055185,8.89349,4.901498,7.843906,4.748039,5.994151,5.782825,3.7299337,4.1786284,4.4694123
C00015,7.4256864,7.939078,3.819674,6.2495513,4.7191987,6.9962983,4.9928145,2.7126102,4.7686114,5.003892
C00016,5.710147,8.898089,4.589981,9.122647,5.2407956,6.315832,5.5101547,2.6622462,4.4810987,6.4088364
C00017,6.7163215,7.553054,5.0926075,8.876757,5.246174,6.3278413,5.148982,3.5793345,4.3885765,5.5283976
C00018,6.6860623,8.063162,3.673548,5.638512,4.6796837,6.929558,5.2563386,2.5679774,4.6111345,4.8303456
C00019,5.396475,8.13412,5.019032,8.417199,5.5541124,5.9441457,5.794583,3.8414085,4.1639967,4.838099
C00020,5.293921,8.017856,4.507187,9.591171,6.6559663,5.9852877,5.855265,2.6823027,4.1964793,6.7623134
C00021,6.0696826,9.150645,2.1483257,5.4011703,5.449936,5.861623,4.898148,2.4434638,4.966963,4.5437474
C00022,6.361777,8.923564,2.5181155,5.39228,5.379906,6.1690526,5.0348225,2.488995,4.912778,4.550908
C00023,5.4935045,8.054231,4.670077,9.546174,6.54368,6.1604023,5.9332223,2.6870031,4.189193,6.7257566
C00024,7.410015,7.303613,5.180164,8.777368,5.085775,6.5331717,4.9364505,3.5220513,4.491701,5.5941753
C00025,6.0707817,8.278494,4.792461,8.1844015,5.3281083,6.474595,5.680248,3.1580822,4.321058,5.458251
C00026,5.249276,8.511994,4.362559,9.297735,5.513443,5.796885,5.23583,2.9314432,4.447195,6.291077
C00027,5.3135147,7.947199,4.2209578,9.291886,6.4111886,5.8638134,5.4895253,2.6960287,4.324925,6.612156
C00028,5.9770293,8.823456,3.173631,5.6184816,5.5844145,6.1162786,5.4864874,2.9712782,4.7097564,4.1588063
C00029,6.67987,7.679574,5.352184,8.724928,4.7838087,6.3187833,5.1404753,3.9221087,4.346889,5.046388
C00030,5.359713,8.905758,4.397921,9.05869,5.309219,6.2558637,5.4919906,2.4512694,4.432901,6.640799
C00031,6.0626063,6.607545,3.451228,5.046397,5.1437182,6.918751,5.2553916,2.32028,4.283198,5.069305
C00032,6.806,7.8480215,5.2278233,8.527872,4.799312,6.5165124,5.25517,3.6908975,4.3836813,5.1730323
C00033,5.1607885,8.728708,4.6917577,7.7219515,4.9960294,6.003562,5.712287,3.585784,4.220305,4.5841036
C00034,7.3885264,7.383537,5.24762,8.673157,4.933209,6.627154,4.975326,3.4822521,4.4680643,5.5899715
C00035,5.2564716,8.110375,4.6853395,9.414659,6.574339,6.0482783,6.036498,2.855444,4.1410527,6.425184
C00036,5.7824554,6.9320884,3.158061,5.273709,5.3435793,6.527806,5.1615453,2.4037027,4.3814554,5.0137005
C00037,5.2814083,8.736127,4.992302,8.061985,4.869493,6.1225657,5.7718544,3.6284103,4.2081366,4.758923
C00038,6.1111493,7.125083,3.2067535,4.7496095,4.3476763,6.9513617,4.898637,2.2257235,4.4350753,4.9355774
C00039,6.643753,7.6200957,4.8889246,8.526215,5.281233,6.3448286,5.1818223,3.471784,4.414549,5.438134
C00040,5.4569483,8.236927,5.1165986,8.3492985,5.426915,6.085699,5.871976,3.7894616,4.1489954,4.8520107
C00041,5.6107764,9.234244,3.3046865,6.018371,5.3431244,5.850962,5.5046635,3.1905758,4.6998415,4.020428
C00042,5.5095344,7.504569,4.1276374,5.6656075,4.58827,6.5244875,5.4961243,3.1437337,4.1654553,4.3248525
C00043,5.8773127,9.155178,3.3319876,5.8832173,5.234539,6.035452,5.472726,3.1096897,4.7163157,4.065356
C00044,6.512052,7.5770364,5.226377,8.972139,5.0045266,6.130728,5.046688,3.9156713,4.358457,5.205887
C00045,6.9995217,7.8271403,3.7182803,5.986237,4.8346043,6.896234,5.121971,2.6722841,4.6549315,4.916697
C00046,6.3205767,7.3320494,3.1799557,4.830251,4.813416,6.9038315,5.1152353,2.2912505,4.505027,4.8475614
C00047,6.481451,8.683697,2.7483616,5.7187753,5.228455,6.2507915,4.95996,2.5030417,4.883282,4.7579155
C00048,5.30859,8.088918,4.789523,8.493999,5.6655173,5.8476377,5.6634364,3.6922147,4.2024956,5.0355024
C00049,6.489937,7.5435486,5.116689,9.034809,5.160489,6.112085,5.0403123,3.7988384,4.375544,5.370571
C00050,6.1485205,7.1936784,3.2572236,4.894149,4.409134,6.892258,4.928547,2.3217576,4.4561653,4.886322
C00051,5.12138,8.29962,4.872105,7.929595,5.633328,5.8973703,5.9795027,3.8643987,4.1245937,4.502102
C00052,5.5311117,8.112993,4.688586,9.388345,6.499124,6.3135366,5.9796867,2.5826392,4.1894536,6.7328253
C00053,5.481898,8.271491,4.7946,9.064661,6.3622513,6.405311,6.1520867,2.6927252,4.15587,6.3763623
